level0,level1,level2,level3a,domain,comments
Swp. Tamarack,Swp. Tamarack,Swamp Tamarack,Tamarack,Indiana v2.0,
Swt Gum,Swt Gum,Sweet Gum,Sweet gum,Indiana v2.0,
swt. gum,swt. gum,Sweet Gum,Sweet gum,Indiana v2.0,
sycamore,sycamore,Sycamore,Sycamore,Indiana v2.0,
Sycamore,Sycamore,Sycamore,Sycamore,Indiana v2.0,
tam,tam,Tamarack,Tamarack,Indiana v2.0,
tamarac,tamarac,Tamarack,Tamarack,Indiana v2.0,
Tamarac,Tamarac,Tamarack,Tamarack,Indiana v2.0,
tamarack,tamarack,Tamarack,Tamarack,Indiana v2.0,
Tamarack,Tamarack,Tamarack,Tamarack,Indiana v2.0,
tamarak,tamarak,Tamarack,Tamarack,Indiana v2.0,
tamerac,tamerac,Tamarack,Tamarack,Indiana v2.0,
Tamerac,Tamerac,Tamarack,Tamarack,Indiana v2.0,
tamerach,tamerach,Tamarack,Tamarack,Indiana v2.0,
tamerack,tamerack,Tamarack,Tamarack,Indiana v2.0,
Tamerack,Tamerack,Tamarack,Tamarack,Indiana v2.0,
tamk,tamk,Tamarack,Tamarack,Indiana v2.0,
tamK,tamK,Tamarack,Tamarack,Indiana v2.0,
Tamk,Tamk,Tamarack,Tamarack,Indiana v2.0,
TamK,TamK,Tamarack,Tamarack,Indiana v2.0,
TAmk,TAmk,Tamarack,Tamarack,Indiana v2.0,
thorn,thorn,Thorn tree,Other hardwood,Indiana v2.0,
Thorn,Thorn,Thorn tree,Other hardwood,Indiana v2.0,
thorn bush,thorn bush,Thorn tree,Other hardwood,Indiana v2.0,
Thornbrush,Thornbrush,Thorn tree,Other hardwood,Indiana v2.0,
thornbush,thornbush,Thorn tree,Other hardwood,Indiana v2.0,
Three small white hickories,Three small white hickories,White hickory,Hickory,Indiana v2.0,
w,w,Unknown tree,Unknown tree,Indiana v2.0,
W,W,Unknown tree,Unknown tree,Indiana v2.0,
W ____,W ____,Unknown tree,Unknown tree,Indiana v2.0,
w 99999,w 99999,Unknown tree,Unknown tree,Indiana v2.0,
w ash,w ash,White ash,Ash,Indiana v2.0,
W ash,W ash,White ash,Ash,Indiana v2.0,
W Ash,W Ash,White ash,Ash,Indiana v2.0,
w beech,w beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
W beech,W beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
W Beech,W Beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
w birch,w birch,White birch,Birch,Indiana v2.0,
w cherry,w cherry,Cherry,Cherry,Indiana v2.0,
W Cherry,W Cherry,Cherry,Cherry,Indiana v2.0,
w elm,w elm,White elm,Elm,Indiana v2.0,
W elm,W elm,White elm,Elm,Indiana v2.0,
W Elm,W Elm,White elm,Elm,Indiana v2.0,
W Gum,W Gum,White gum,Black gum/sweet gum,Indiana v2.0,
w haw,w haw,White hawthorn,Other hardwood,Indiana v2.0,
W haw,W haw,White hawthorn,Other hardwood,Indiana v2.0,
w hickory,w hickory,White hickory,Hickory,Indiana v2.0,
W hickory,W hickory,White hickory,Hickory,Indiana v2.0,
W Hickory,W Hickory,White hickory,Hickory,Indiana v2.0,
w hicky,w hicky,White hickory,Hickory,Indiana v2.0,
w maple,w maple,Maple,Maple,Indiana v2.0,
W Maple,W Maple,White maple,Maple,Indiana v2.0,
w o,w o,White oak,Oak,Indiana v2.0,
W O,W O,White oak,Oak,Indiana v2.0,
w oak,w oak,White oak,Oak,Indiana v2.0,
W oak,W oak,White oak,Oak,Indiana v2.0,
W Oak,W Oak,White oak,Oak,Indiana v2.0,
W OAK,W OAK,White oak,Oak,Indiana v2.0,
W Oak stump,W Oak stump,White oak,Oak,Indiana v2.0,
w ok,w ok,White oak,Oak,Indiana v2.0,
w pine,w pine,White pine,Pine,Indiana v2.0,
w thorn,w thorn,White thorn,Other hardwood,Indiana v2.0,
W Thorn,W Thorn,White hawthorn,Other hardwood,Indiana v2.0,
w walnut,w walnut,White walnut,Walnut,Indiana v2.0,
W walnut,W walnut,White walnut,Walnut,Indiana v2.0,
W Walnut,W Walnut,White walnut,Walnut,Indiana v2.0,
W Walt,W Walt,White walnut,Walnut,Indiana v2.0,
w wood,w wood,Whitewood,Tulip poplar,Indiana v2.0,
W Wood,W Wood,Whitewood,Tulip poplar,Indiana v2.0,
W.,W.,Unknown tree,Unknown tree,Indiana v2.0,
w. ash,w. ash,White ash,Ash,Indiana v2.0,
W. ash,W. ash,White ash,Ash,Indiana v2.0,
W. Ash,W. Ash,White ash,Ash,Indiana v2.0,
w. beech,w. beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
W. Beech,W. Beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
w. birch,w. birch,White birch,Birch,Indiana v2.0,
w. elm,w. elm,White elm,Elm,Indiana v2.0,
W. Elm,W. Elm,White elm,Elm,Indiana v2.0,
W. Hickory,W. Hickory,White hickory,Hickory,Indiana v2.0,
W. Hicky,W. Hicky,White hickory,Hickory,Indiana v2.0,
W. Maple,W. Maple,White maple,Maple,Indiana v2.0,
W. Mulberry,W. Mulberry,White mulberry,Mulberry,Indiana v2.0,
W. O.,W. O.,White oak,Oak,Indiana v2.0,
w. oak,w. oak,White oak,Oak,Indiana v2.0,
W. oak,W. oak,White oak,Oak,Indiana v2.0,
W. Oak,W. Oak,White oak,Oak,Indiana v2.0,
w. thorn,w. thorn,White thorn,Other hardwood,Indiana v2.0,
W. Thorn,W. Thorn,White thorn,Other hardwood,Indiana v2.0,
w. walnut,w. walnut,White walnut,Walnut,Indiana v2.0,
W. walnut,W. walnut,White walnut,Walnut,Indiana v2.0,
W. Walnut,W. Walnut,White walnut,Walnut,Indiana v2.0,CVC at level 2 this would be white walnut and walnut at level 3a; JP changed Level 2 from butternut to White walnut 1-31-14
w. wood,w. wood,Whitewood,Tulip poplar,Indiana v2.0,
W. Wood,W. Wood,Whitewood,Tulip poplar,Indiana v2.0,CVC I would jump to whitewood at level 2 and Lirio at level 3a
W.O.,W.O.,White oak,Oak,Indiana v2.0,
W.Oak,W.Oak,White oak,Oak,Indiana v2.0,
W.wood,W.wood,Whitewood,Tulip poplar,Indiana v2.0,
walnut,walnut,Walnut,Walnut,Indiana v2.0,
Walnut,Walnut,Walnut,Walnut,Indiana v2.0,CVC at level 2 this would be walnut; JP changed level 2 from Black Walnut to Walnut
Walnut bush,Walnut bush,Walnut,Walnut,Indiana v2.0,
water,water,Water,Water,Indiana v2.0,
Water,Water,Water,Water,Indiana v2.0,
Water Ash,Water Ash,Ash,Ash,Indiana v2.0,
water beech,water beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
Water Beech,Water Beech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
Water Birch,Water Birch,Water birch,Birch,Indiana v2.0,
water oak,water oak,Oak,Oak,Indiana v2.0,
Water Willow,Water Willow,Willow,Willow,Indiana v2.0,
waterbeech,waterbeech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
Waterbeech,Waterbeech,Water beech,Ironwood,Indiana v2.0,CVC: Everything considered including the native range of Carpinus covering all Indiana and the complementary range of "w. beech" and "water beech" across presettlement Indiana, I declare "w. beech" is "water beech" thus Carpinus caroliniana, but lumped as "ironwood" in PalEON vernacular
Wet,Wet,Wet,No tree,Indiana v2.0,5-15-19 For the pls products manuscript we have decided to use the "Wet" entries in our analyses so the Level3a label is now "No Tree" (in comparison "Water" entries are removed from the analyses)
wh ash,wh ash,White ash,Ash,Indiana v2.0,
Wh ash,Wh ash,White ash,Ash,Indiana v2.0,
Wh Ash,Wh Ash,White ash,Ash,Indiana v2.0,
Wh Beech,Wh Beech,White beech,Beech,Indiana v2.0,
wh elm,wh elm,White elm,Elm,Indiana v2.0,
Wh Elm,Wh Elm,White elm,Elm,Indiana v2.0,
wh oak,wh oak,White oak,Oak,Indiana v2.0,
Wh oak,Wh oak,White oak,Oak,Indiana v2.0,
Wh Oak,Wh Oak,White oak,Oak,Indiana v2.0,
wh  ok,wh ok,White oak,Oak,Indiana v2.0,
wh walnut,wh walnut,White walnut,Walnut,Indiana v2.0,
Wh walnut,Wh walnut,White walnut,Walnut,Indiana v2.0,CVC this would be white walnut. JP changed Level 2 from W walnut to White walnut
wh. o,wh. o,White oak,Oak,Indiana v2.0,
wh. oak,wh. oak,White oak,Oak,Indiana v2.0,
Wh. Oak,Wh. Oak,White oak,Oak,Indiana v2.0,
Wh. Walnut,Wh. Walnut,White walnut,Walnut,Indiana v2.0,
Whi Elm,Whi Elm,White elm,Elm,Indiana v2.0,
White ___,White ___,Unknown tree,Unknown tree,Indiana v2.0,
white 99999,white 99999,Unknown tree,Unknown tree,Indiana v2.0,
white ash,white ash,White ash,Ash,Indiana v2.0,
White ash,White ash,White ash,Ash,Indiana v2.0,
White Ash,White Ash,White ash,Ash,Indiana v2.0,
White Beech,White Beech,White beech,Beech,Indiana v2.0,
white elm,white elm,White elm,Elm,Indiana v2.0,
White Elm,White Elm,White elm,Elm,Indiana v2.0,
White Gum,White Gum,White gum,Black gum/sweet gum,Indiana v2.0,
white haw,white haw,Hawthorn,Other hardwood,Indiana v2.0,
White Ironwood,White Ironwood,White ironwood,Ironwood,Indiana v2.0,
white maple,white maple,White maple,Maple,Indiana v2.0,
white o,white o,White oak,Oak,Indiana v2.0,
white o,White O,White oak,Oak,Indiana v2.0,
white oak,white oak,White oak,Oak,Indiana v2.0,
White oak,White oak,White oak,Oak,Indiana v2.0,
White Oak,White Oak,White oak,Oak,Indiana v2.0,
white thorn,white thorn,White thorn,Other hardwood,Indiana v2.0,
White Thorn,White Thorn,White thorn,Other hardwood,Indiana v2.0,CVC keep as white thorn in level2; JP changed Level 2 from Hawthorn to White thorn 1-31-14
white walnut,white walnut,White walnut,Walnut,Indiana v2.0,
White Walnut,White Walnut,White walnut,Walnut,Indiana v2.0,
white wood,white wood,Whitewood,Tulip poplar,Indiana v2.0,
whitewood,whitewood,Whitewood,Tulip poplar,Indiana v2.0,
Whitewood,Whitewood,Whitewood,Tulip poplar,Indiana v2.0,CVC is whitewood in level 2; JP changed Level 2 from custom to Whitewood 1-31-14
wht o,wht o,White Oak,Oak,Indiana v2.0,
wild cherry,wild cherry,Cherry,Cherry,Indiana v2.0,
Wild Cherry,Wild Cherry,Cherry,Cherry,Indiana v2.0,CVC  keep as wild cherry in level 2 as preserves the vernacular, which is lost in the name cherry
willow,willow,Willow,Willow,Indiana v2.0,
Willow,Willow,Willow,Willow,Indiana v2.0,
WIllow,WIllow,Willow,Willow,Indiana v2.0,
WILLOW,WILLOW,Willow,Willow,Indiana v2.0,
Willow thicket,Willow thicket,Willow,Willow,Indiana v2.0,
wo,wo,White Oak,Oak,Indiana v2.0,
WO,WO,White oak,Oak,Indiana v2.0,
y ash,y ash,Yellow ash,Ash,Indiana v2.0,
Y ash,Y ash,Yellow ash,Ash,Indiana v2.0,
Y Ash,Y Ash,Yellow ash,Ash,Indiana v2.0,
y birch,y birch,Yellow birch,Birch,Indiana v2.0,
y oak,y oak,Yellow oak,Oak,Indiana v2.0,
Y oak,Y oak,Yellow oak,Oak,Indiana v2.0,
Y Oak,Y Oak,Yellow oak,Oak,Indiana v2.0,
y pine,y pine,Yellow pine,Pine,Indiana v2.0,
Y pine,Y pine,Yellow pine,Pine,Indiana v2.0,
y. oak,y. oak,Yellow oak,Oak,Indiana v2.0,
Y. Oak,Y. Oak,Yellow oak,Oak,Indiana v2.0,
yellow birch,yellow birch,Yellow birch,Birch,Indiana v2.0,
yellow oak,yellow oak,Yellow oak,Oak,Indiana v2.0,
Yellow Oak,Yellow Oak,Yellow oak,Oak,Indiana v2.0,
Yellow Pine,Yellow Pine,Yellow pine,Pine,Indiana v2.0,
other oaks,15 additional modifers of oak: blue, box, penn, ruff, beach, live, green, chason, clapboard, squirrel, red rock, swamp black, pinknot, shingle, roseboom,,Oak,Northeast (1372),
other amelanchier,2 additional names for shad: pear plumb, sarvis,,Other hardwood,Northeast (1372),
misc.trees,37 names: sumach, swamp sumac, lowwood, saven tree, sentor tree, pouder beef tree, lightwood, ninebark, spicebush, skimelbas, roseboom, mushenwood, shinwood, prickly ash, shitpol boom, turtle tree, moonbeam, taperrel tree, byestead, shoemaker tree, jerwood, bigwood, fishwood pole, quince tree, cherm, nickopwood, appaquag, damson, pambury, rauge, chebalo, pipestaff, tongue tree, myrtle,,Other hardwood,Northeast (1372),
other pines ,5 additional modifers of pine:  shrub, spruce, burjam, apple, frog,,Pine,Northeast (1372),
other ash,6 additional modifers of ash: yellow, river, montane, hoop, winter, basket,,Ash,Northeast (1372),
other moose ,7 additional names for moosewood: moose willow, moose maple, moosebush, striped maple, hopplewood, moose elm,,Maple,Northeast (1372),
alder,,,Alder,Northeast (1372),
ash ,,,Ash,Northeast (1372),
Black ash,,,Ash,Northeast (1372),
brown ash,,,Ash,Northeast (1372),
Red ash,,,Ash,Northeast (1372),
Water ash,,,Ash,Northeast (1372),
White ash,,,Ash,Northeast (1372),
Chth cedar,,,Atlantic white cedar,Northeast (1372),
Basswood,,,Basswood,Northeast (1372),
linden/lime,,,Basswood,Northeast (1372),
Lynn,,,Basswood,Northeast (1372),
wicerpee,,,Basswood,Northeast (1372),
Beech,,,Beech,Northeast (1372),
Birch,,,Birch,Northeast (1372),
Black birch,,,Birch,Northeast (1372),note split yellow & black birch
red birch,,,Birch,Northeast (1372),
rock birch,,,Birch,Northeast (1372),
swamp birch,,,Birch,Northeast (1372),
White birch,,,Birch,Northeast (1372),
Yellow birch,,,Birch,Northeast (1372),
hornbine,,,Black gum,Northeast (1372),
Pepperidge,,,Black gum,Northeast (1372),
snagwood,,,Black gum,Northeast (1372),
swampwood,,,Black gum,Northeast (1372),
wild pear,,,Black gum,Northeast (1372),
Gum,,,Black gum/sweet gum,Northeast (1372),
buckeye,,,Buckeye,Northeast (1372),
Cedar,,,Cedar/juniper,Northeast (1372),
Juniper,,,Cedar/juniper,Northeast (1372),
red cedar,,,Cedar/juniper,Northeast (1372),
black cherry,,,Cherry,Northeast (1372),
Cherry,,,Cherry,Northeast (1372),
red cherry,,,Cherry,Northeast (1372),
wild cherry,,,Cherry,Northeast (1372),
Chestnut,,,Chestnut,Northeast (1372),
Dogwood,,,Dogwood,Northeast (1372),
Elm,,,Elm,Northeast (1372),
red elm,,,Elm,Northeast (1372),
white elm,,,Elm,Northeast (1372),
witch elm,,,Elm,Northeast (1372),
Fir,,,Fir,Northeast (1372),
Hemlock,,,Hemlock,Northeast (1372),
old "spruce" (incl. spruce pine),,,Hemlock,Northeast (1372),
bitter walnut,,,Hickory,Northeast (1372),
Hickory,,,Hickory,Northeast (1372),
pignut,,,Hickory,Northeast (1372),
shagbark,,,Hickory,Northeast (1372),
blue beech,,,Ironwood,Northeast (1372),
hard beam,,,Ironwood,Northeast (1372),
Hardhack,,,Ironwood,Northeast (1372),
Hazel,,,Ironwood,Northeast (1372),
Hornbeam,,,Ironwood,Northeast (1372),
ironwood,,,Ironwood,Northeast (1372),
Leverwood,,,Ironwood,Northeast (1372),
remmond, remon,,,Ironwood,Northeast (1372),
water beech,,,Ironwood,Northeast (1372),
Witch hazel,,,Ironwood,Northeast (1372),Not Hamamelis
Locust,,,Locust,Northeast (1372),
bastard maple,,,Maple,Northeast (1372),
box elder,,,Maple,Northeast (1372),
boxwood ,,,Maple,Northeast (1372),
Hard maple,,,Maple,Northeast (1372),
Maple,,,Maple,Northeast (1372),
Moosewood,,,Maple,Northeast (1372),
red maple,,,Maple,Northeast (1372),
Rock maple,,,Maple,Northeast (1372),
Soft maple,,,Maple,Northeast (1372),
Sugar maple,,,Maple,Northeast (1372),
Sugar tree,,,Maple,Northeast (1372),
swamp maple,,,Maple,Northeast (1372),
White maple,,,Maple,Northeast (1372),
mulberry,,,Mulberry,Northeast (1372),
Black oak,,,Oak,Northeast (1372),
bur oak,,,Oak,Northeast (1372),
chestnut oak ,,,Oak,Northeast (1372),
greene oak,,,Oak,Northeast (1372),
Grey oak,,,Oak,Northeast (1372),
mountain oak,,,Oak,Northeast (1372),
Oak,,,Oak,Northeast (1372),
pin oak ,,,Oak,Northeast (1372),
Red oak,,,Oak,Northeast (1372),
Rock oak,,,Oak,Northeast (1372),
shrub oak,,,Oak,Northeast (1372),
Spanish oak,,,Oak,Northeast (1372),
Swamp oak,,,Oak,Northeast (1372),
swamp white oak ,,,Oak,Northeast (1372),
White oak,,,Oak,Northeast (1372),
yellow oak ,,,Oak,Northeast (1372),
hornwood,,,Other hardwood,Northeast (1372),
navewood,,,Other hardwood,Northeast (1372),
heath,,,Other hardwood,Northeast (1372),
laurel,,,Other hardwood,Northeast (1372),
bilberry tree,,,Other hardwood,Northeast (1372),
Cucumber,,,Other hardwood,Northeast (1372),Charlie had Level 3a as Magnolia. But since other Magnolia were listed as Other hardwood, I have done so here as well - JP 3-18-14
box,,,Other hardwood,Northeast (1372),
mountain ash ,,,Other hardwood,Northeast (1372),
roundwood,,,Other hardwood,Northeast (1372),
shittum wood,,,Other hardwood,Northeast (1372),
ammon/almond,,,Other hardwood,Northeast (1372),
apple,,,Other hardwood,Northeast (1372),
ballwood,,,Other hardwood,Northeast (1372),
beetlewood,,,Other hardwood,Northeast (1372),
black tree,,,Other hardwood,Northeast (1372),
deerwood,,,Other hardwood,Northeast (1372),
greenwood,,,Other hardwood,Northeast (1372),
peach,,,Other hardwood,Northeast (1372),
pegwood,,,Other hardwood,Northeast (1372),
plum,,,Other hardwood,Northeast (1372),
spoonwood bush,,,Other hardwood,Northeast (1372),
Thorn tree,,,Other hardwood,Northeast (1372),
tobaccowood,,,Other hardwood,Northeast (1372),
white tree,,,Other hardwood,Northeast (1372),
Sassafras,,,Other hardwood,Northeast (1372),
june cherry,,,Other hardwood,Northeast (1372),
juneberry,,,Other hardwood,Northeast (1372),
may berry,,,Other hardwood,Northeast (1372),
maycherry,,,Other hardwood,Northeast (1372),
Service,,,Other hardwood,Northeast (1372),
shad,,,Other hardwood,Northeast (1372),
black pine,,,Pine,Northeast (1372),
Hornpine,,,Pine,Northeast (1372),
norway pine,,,Pine,Northeast (1372),
Pine,,,Pine,Northeast (1372),
Pitch pine,,,Pine,Northeast (1372),
red pine,,,Pine,Northeast (1372),
White pine,,,Pine,Northeast (1372),
Yellow pine,,,Pine,Northeast (1372),
Aspen,,,Poplar,Northeast (1372),
balm de gilead ,,,Poplar,Northeast (1372),
cottonwood,,,Poplar,Northeast (1372),
water poplar,,,Poplar,Northeast (1372),
White poplar,,,Poplar,Northeast (1372),
Popple,,,Poplar,Northeast (1372),
Poplar,,,Poplar/tulip poplar,Northeast (1372),
Black spruce,,,Spruce,Northeast (1372),
Spruce,,,Spruce,Northeast (1372),
white spruce,,,Spruce,Northeast (1372),
Hackmetack,,,Spruce or Tamarack,Northeast (1372),split in actual tally by decision tree. Email from Charlie on 3-18-14: that is either spruce or tamarack depending on the date), but these are already cleanly assigned in actual database (JP).
buttonball,,,Sycamore,Northeast (1372),
Buttonwood,,,Sycamore,Northeast (1372),
sycamore ,,,Sycamore,Northeast (1372),
larch ,,,Tamarack,Northeast (1372),
Tamarack,,,Tamarack,Northeast (1372),
tulip,,,Tulip poplar,Northeast (1372),
Whitewood,,,Tulip poplar,Northeast (1372),
Walnut,,,Walnut,Northeast (1372),split in actual tally by decision tree 
black walnut,,,Walnut,Northeast (1372),
butnut,,,Walnut,Northeast (1372),
butten,,,Walnut,Northeast (1372),
Butternut,,,Walnut,Northeast (1372),
butterwood,,,Walnut,Northeast (1372),
oilnut,,,Walnut,Northeast (1372),
White walnut,,,Walnut,Northeast (1372),
Willow,,,Willow,Northeast (1372),
,ASHS_N_11_,,Ash,Northeast1372_wiki,
,BASSWOOD_N,,Basswood,Northeast1372_wiki,
,BEECH_N_11,,Beech,Northeast1372_wiki,
,BIRCHES_N_,,Birch,Northeast1372_wiki,
,BUTTONWOOD,,Sycamore,Northeast1372_wiki,
,CEDAR_N_11,,Cedar/juniper,Northeast1372_wiki,
,CHAMAE_IS_,,Atlantic white cedar,Northeast1372_wiki,
,CHERRIES_N,,Cherry,Northeast1372_wiki,
,CHESTNUT_N,,Chestnut,Northeast1372_wiki,
,ELMS_N_10_,,Elm,Northeast1372_wiki,
,FIR_N_11_7,,Fir,Northeast1372_wiki,
,HEMLOCK_N_,,Hemlock,Northeast1372_wiki,
,HICKORIES_,,Hickory,Northeast1372_wiki,
,IRONWOODS_,,Ironwood,Northeast1372_wiki,
,JUGLANS__N,,Walnut,Northeast1372_wiki,
,LIRIODENDR,,Tulip poplar,Northeast1372_wiki,
,MAGNOLIA_N,,Other hardwood,Northeast1372_wiki,
,MAPLES_N_1,,Maple,Northeast1372_wiki,
,NYSSA_N_10,,Black gum,Northeast1372_wiki,
,OAKS_N_12_,,Oak,Northeast1372_wiki,
,OTHER_N_12,,Other hardwood,Northeast1372_wiki,
,PINES_N_11,,Pine,Northeast1372_wiki,
,POPLARS_N_,,Poplar/tulip poplar,Northeast1372_wiki,
,SPRUCES_N_,,Spruce,Northeast1372_wiki,
,TAMARACK_N,,Tamarack,Northeast1372_wiki,
,Alder,Alder,Alder,OH - vernacular from OH471 towns,
,Asp,Aspen,Poplar,OH - vernacular from OH471 towns,
,Aspen,Aspen,Poplar,OH - vernacular from OH471 towns,
,Aspin,Aspen,Poplar,OH - vernacular from OH471 towns,
,Bass ,Basswood ,Basswood,OH - vernacular from OH471 towns,
,Basswood ,Basswood ,Basswood,OH - vernacular from OH471 towns,
,Bear oak,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Birch,Birch,Birch,OH - vernacular from OH471 towns,
,Bitternut,Hickory,Hickory,OH - vernacular from OH471 towns,
,Black haw,Hawthorn,Other hardwood,OH - vernacular from OH471 towns,CVC although black haw can be a Viburnum, I tend to think most haw, certainly red haw,  are hawthorns and thus red haw, black haw and thorn are Rose trees  "black haw" & "red haw" Winthrop Sargent 1787 List of Trees northwest of Ohio River; "black haw" {shrub} 1815 --Cincinnati & Maimi Country Drake; "black haw" Highland Co. Virginia Mil. Tract 1795-1820; "black haw" & "red haw" Winthrop Sargent 1787 List of Trees northwest of Ohio River; "black haw" {shrub} 1815 --Cincinnati & Maimi Country Drake; "black haw" Highland Co. Virginia Mil. Tract 1795-1820;"black haw" & "red haw" Winthrop Sargent 1787 List of Trees northwest of Ohio River; "black haw" {shrub} 1815 --Cincinnati & Maimi Country Drake; "black haw" Highland Co. Virginia Mil. Tract 1795-1820;  
,Blackjack,Blackjack oak,Oak,OH - vernacular from OH471 towns,
,Blackjack oak,Blackjack oak,Oak,OH - vernacular from OH471 towns,
,Blue beech,Ironwood,Ironwood,OH - vernacular from OH471 towns,
,Bot oak,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Box elder maple,Box elder,Maple,OH - vernacular from OH471 towns,
,Boxelder,Box elder,Maple,OH - vernacular from OH471 towns,
,Bur oak,Burr oak,Oak,OH - vernacular from OH471 towns,
,Burch,Birch,Birch,OH - vernacular from OH471 towns,
,Burr oak,Burr oak,Oak,OH - vernacular from OH471 towns,
,Butnut,Butternut,Walnut,OH - vernacular from OH471 towns,
,Cedar,Cedar,Cedar/juniper,OH - vernacular from OH471 towns,CVC cedars are multifaced-  here it is most likely red cedar, but could be northern white cedar 
,Cherry-leaved oak,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Coffee tree,Kentucky coffee tree,Other hardwood,OH - vernacular from OH471 towns,
,Coffeenut,Kentucky coffee tree,Other hardwood,OH - vernacular from OH471 towns,
,Cucumber,Magnolia,Other hardwood,OH - vernacular from OH471 towns,
,Hard maple,Maple,Maple,OH - vernacular from OH471 towns,
,Hardbeam,Ironwood,Ironwood,OH - vernacular from OH471 towns,
,Hardhack,Ironwood,Ironwood,OH - vernacular from OH471 towns,
,Hoop ash,Other hardwood,Other hardwood,OH - vernacular from OH471 towns,CVC probably an ash, but some sources have hoop ash as Hackberry
,Hornbeam,Ironwood,Ironwood,OH - vernacular from OH471 towns,
,Ironwood,Ironwood,Ironwood,OH - vernacular from OH471 towns,CVC includes all Ostrya and Carpinus
,Jack oak,Blackjack oak,Oak,OH - vernacular from OH471 towns,
,Leather wood,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Lind,Basswood ,Basswood,OH - vernacular from OH471 towns,
,Linden ,Basswood,Basswood,OH - vernacular from OH471 towns,
,Linn,Basswood ,Basswood,OH - vernacular from OH471 towns,
,Lynn ,Basswood,Basswood,OH - vernacular from OH471 towns,
,Ninebark,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Pawpaw,Paw paw,Other hardwood,OH - vernacular from OH471 towns,
,Peperage,Black gum,Black gum,OH - vernacular from OH471 towns,
,Pepper   ,Black gum,Black gum,OH - vernacular from OH471 towns,
,Pepperage,Black gum,Black gum,OH - vernacular from OH471 towns,
,Pigeon oak,Sumach  & Ninebark & Spice wood & Leather wood & Stinkwood & Sugar oak & Pigeon oak & Cherry-leaved oak & Bear oak & Bot oak" [?bottom oak]  ,Other hardwood,OH - vernacular from OH471 towns,
,Piperage,Black gum,Black gum,OH - vernacular from OH471 towns,
,Red bud,Red bud,Other hardwood,OH - vernacular from OH471 towns,
,Service,Serviceberry,Other hardwood,OH - vernacular from OH471 towns,
,Service tree,Serviceberry,Other hardwood,OH - vernacular from OH471 towns,
,Serviceberry,Serviceberry,Other hardwood,OH - vernacular from OH471 towns,
